episode,reward
1,408.69999999999976
2,334.89999999999975
3,373.09999999999974
4,396.4999999999997
5,443.89999999999964
6,377.49999999999983
7,356.69999999999976
8,463.59999999999985
9,386.3999999999998
10,399.0999999999998
11,403.69999999999976
12,358.5999999999998
13,373.19999999999976
14,424.7999999999998
15,394.2999999999998
16,370.2999999999997
17,387.6999999999997
18,458.4999999999997
19,340.89999999999975
20,400.1999999999997
21,346.8999999999997
22,410.99999999999966
23,419.1999999999997
24,380.09999999999974
25,367.19999999999976
26,432.6999999999998
27,403.3999999999997
28,235.09999999999988
29,375.9999999999997
30,425.2999999999997
31,377.6999999999997
32,423.3999999999997
33,397.8999999999997
34,395.4999999999998
35,448.59999999999957
36,522.1999999999997
37,374.19999999999976
38,339.8999999999997
39,454.3999999999996
40,438.6999999999997
41,373.1999999999997
42,387.09999999999974
43,344.79999999999967
44,451.4999999999997
45,337.6999999999999
46,320.9999999999998
47,354.9999999999998
48,395.8999999999997
49,396.2999999999998
50,358.69999999999976
51,430.2999999999999
52,339.8999999999997
53,416.69999999999965
54,457.29999999999967
55,306.7999999999999
56,391.69999999999976
57,477.5999999999996
58,441.09999999999985
59,395.3999999999997
60,437.0999999999995
61,411.89999999999986
62,281.8999999999999
63,334.79999999999967
64,411.4999999999996
65,411.4999999999997
66,404.0999999999997
67,376.59999999999985
68,367.4999999999997
69,451.79999999999967
70,418.7999999999997
71,365.3999999999996
72,337.19999999999965
73,451.79999999999967
74,463.5999999999996
75,376.2999999999998
76,342.3999999999998
77,313.19999999999976
78,356.3999999999997
79,308.69999999999965
80,358.2999999999998
81,450.0999999999996
82,406.0999999999998
83,296.09999999999974
84,340.4999999999998
85,437.9999999999995
86,350.0999999999997
87,334.8999999999997
88,436.9999999999998
89,346.4999999999998
90,396.7999999999996
91,397.39999999999986
92,365.5999999999997
93,397.9999999999997
94,404.9999999999998
95,372.79999999999995
96,413.7999999999999
97,350.8999999999997
98,346.39999999999975
99,313.8999999999998
100,400.49999999999983
