episode,reward
1,259.6999999999995
2,279.99999999999966
3,305.5999999999997
4,256.59999999999957
5,252.29999999999984
6,244.39999999999964
7,243.99999999999983
8,246.89999999999966
9,272.89999999999964
10,230.5999999999997
11,284.7999999999997
12,384.29999999999933
13,175.1999999999996
14,331.59999999999957
15,213.09999999999977
16,288.2999999999995
17,357.5999999999997
18,140.00000000000009
19,330.39999999999975
20,267.39999999999975
21,206.99999999999983
22,254.19999999999953
23,242.4999999999996
24,260.39999999999964
25,266.6999999999996
26,253.09999999999954
27,282.0999999999997
28,326.8999999999995
29,248.2999999999997
30,225.09999999999974
31,236.79999999999984
32,175.69999999999987
33,196.8999999999998
34,211.39999999999978
35,157.29999999999993
36,184.1999999999998
37,246.99999999999972
38,248.59999999999982
39,220.89999999999964
40,274.19999999999976
41,164.49999999999991
42,234.4999999999996
43,221.09999999999974
44,246.8999999999997
45,318.29999999999984
46,184.39999999999998
47,280.69999999999976
48,248.59999999999985
49,296.39999999999964
50,167.39999999999984
51,385.99999999999966
52,258.79999999999984
53,247.0999999999996
54,181.0999999999997
55,317.7999999999997
56,184.69999999999965
57,251.9999999999995
58,332.6999999999995
59,317.4999999999997
60,204.39999999999992
61,216.59999999999994
62,291.59999999999957
63,257.19999999999993
64,277.1999999999996
65,255.79999999999984
66,199.59999999999974
67,270.49999999999966
68,167.09999999999977
69,240.59999999999977
70,305.39999999999964
71,268.2999999999997
72,292.5999999999998
73,281.2999999999995
74,419.4999999999994
75,248.89999999999975
76,173.4999999999998
77,336.0999999999997
78,309.19999999999965
79,281.99999999999955
80,276.5999999999996
81,256.7999999999995
82,236.59999999999977
83,214.59999999999997
84,298.79999999999956
85,193.99999999999983
86,354.89999999999947
87,203.8999999999997
88,237.39999999999978
89,330.6999999999996
90,329.7999999999994
91,205.0
92,209.59999999999985
93,299.9999999999998
94,223.1999999999997
95,210.39999999999995
96,321.79999999999956
97,240.8999999999997
98,267.0999999999996
99,209.1999999999998
100,322.99999999999966
