episode,reward
1,205.09999999999988
2,213.59999999999988
3,71.50000000000004
4,241.19999999999976
5,190.49999999999983
6,174.89999999999978
7,325.69999999999965
8,273.39999999999964
9,236.69999999999965
10,234.59999999999968
11,206.19999999999976
12,203.8999999999998
13,254.29999999999978
14,190.29999999999978
15,221.49999999999983
16,231.2999999999996
17,272.7999999999995
18,248.4999999999996
19,240.69999999999973
20,225.29999999999964
21,227.7999999999997
22,213.6999999999996
23,230.3999999999999
24,243.7999999999996
25,211.19999999999985
26,204.89999999999992
27,250.39999999999964
28,206.49999999999972
29,291.39999999999975
30,222.2999999999996
31,263.89999999999947
32,195.1999999999997
33,230.59999999999977
34,297.49999999999955
35,198.59999999999988
36,236.39999999999958
37,284.29999999999956
38,145.70000000000002
39,281.0999999999997
40,273.19999999999953
41,262.5999999999992
42,310.9999999999994
43,233.79999999999976
44,234.09999999999968
45,207.19999999999976
46,198.4999999999998
47,225.99999999999943
48,234.79999999999998
49,195.69999999999996
50,208.89999999999972
51,214.5999999999998
52,201.8999999999998
53,230.9999999999996
54,184.29999999999973
55,211.39999999999975
56,217.9999999999996
57,268.7999999999995
58,233.19999999999968
59,190.09999999999985
60,209.49999999999991
61,267.09999999999957
62,38.199999999999996
63,232.79999999999978
64,271.19999999999965
65,175.50000000000003
66,229.39999999999986
67,208.4999999999998
68,222.39999999999958
69,240.19999999999985
70,211.19999999999968
71,209.99999999999977
72,190.5999999999998
73,195.09999999999968
74,215.39999999999975
75,163.3999999999999
76,249.69999999999968
77,274.5999999999997
78,230.4999999999998
79,202.4999999999996
80,251.7999999999996
81,241.69999999999985
82,239.19999999999956
83,256.9999999999996
84,158.80000000000004
85,227.3999999999998
86,264.9999999999996
87,261.9999999999995
88,269.89999999999975
89,232.19999999999965
90,230.1999999999998
91,219.79999999999984
92,224.8999999999999
93,175.99999999999986
94,246.2999999999997
95,247.1999999999997
96,225.49999999999972
97,232.99999999999972
98,154.19999999999985
99,250.99999999999972
100,219.9999999999999
